Time,App_Name,Inactivity Duration(s),Keystroke_Count,Speed(ms),Prev_PAM_Val,PAM_Val,example_id
2021-09-10 13:30:00,explorer.exe,4069.192138671875,87,6.6024932861328125,0.0,2,0
2021-09-10 14:00:00,explorer.exe,3073.0234375,361,5.796617031097412,2.0,2,0
2021-09-10 14:30:00,explorer.exe,2250.151123046875,87,3.7412164211273193,2.0,2,0
2021-09-10 15:00:00,explorer.exe,1751.982177734375,87,2.708780288696289,2.0,2,0
2021-09-10 15:30:00,explorer.exe,2818.204833984375,87,3.040749311447144,2.0,2,0
2021-09-10 16:00:00,explorer.exe,3693.676513671875,87,3.435490131378174,2.0,2,0
2021-09-10 16:30:00,explorer.exe,5085.70849609375,87,3.397293329238892,2.0,2,0
2021-09-10 17:00:00,explorer.exe,3422.0205078125,87,2.928654193878174,2.0,2,0
2021-09-10 13:30:00,explorer.exe,4937.24609375,87,8.396788597106934,0.0,2,1
2021-09-10 14:00:00,explorer.exe,2990.684814453125,87,8.1416015625,2.0,2,1
2021-09-10 14:30:00,explorer.exe,2577.78271484375,87,7.808364391326904,2.0,2,1
2021-09-10 15:00:00,explorer.exe,1794.8690185546875,87,4.935715198516846,2.0,2,1
2021-09-10 15:30:00,explorer.exe,1546.7999267578125,87,6.520470142364502,2.0,2,1
2021-09-10 16:00:00,explorer.exe,1669.861328125,87,8.026378631591797,2.0,2,1
2021-09-10 16:30:00,explorer.exe,2374.205078125,57,11.469741821289062,2.0,2,1
2021-09-10 17:00:00,opera.exe,3108.218505859375,57,11.240863800048828,2.0,2,1
2021-09-10 13:30:00,explorer.exe,3302.927734375,434,8.580221176147461,0.0,2,2
2021-09-10 14:00:00,explorer.exe,1285.19287109375,87,5.00979471206665,2.0,2,2
2021-09-10 14:30:00,explorer.exe,754.7618408203125,87,3.639806270599365,2.0,2,2
2021-09-10 15:00:00,explorer.exe,608.2156372070312,87,4.077799320220947,2.0,2,2
2021-09-10 15:30:00,explorer.exe,533.2332153320312,87,5.55679988861084,2.0,2,2
2021-09-10 16:00:00,explorer.exe,863.433349609375,87,10.272716522216797,2.0,2,2
2021-09-10 16:30:00,explorer.exe,2406.39501953125,57,13.574668884277344,2.0,2,2
2021-09-10 17:00:00,explorer.exe,2692.08154296875,57,12.660762786865234,2.0,2,2
2021-09-10 13:30:00,opera.exe,4903.40380859375,181,12.270671844482422,0.0,3,3
2021-09-10 14:00:00,brave.exe,5604.26318359375,181,14.753403663635254,3.0,3,3
2021-09-10 14:30:00,opera.exe,4966.4892578125,171,13.13776397705078,3.0,3,3
2021-09-10 15:00:00,explorer.exe,4510.7568359375,189,8.062517166137695,3.0,3,3
2021-09-10 15:30:00,opera.exe,4517.21923828125,142,11.666743278503418,3.0,2,3
2021-09-10 16:00:00,opera.exe,3209.90234375,171,13.3616361618042,2.0,1,3
2021-09-10 16:30:00,explorer.exe,1825.6717529296875,87,8.726173400878906,1.0,2,3
2021-09-10 17:00:00,explorer.exe,1768.1246337890625,87,6.331113815307617,2.0,2,3
2021-09-10 13:30:00,explorer.exe,5669.27001953125,87,8.434650421142578,0.0,2,4
2021-09-10 14:00:00,brave.exe,5774.8564453125,181,13.70553493499756,2.0,3,4
2021-09-10 14:30:00,brave.exe,6563.18359375,181,13.341639518737791,3.0,3,4
2021-09-10 15:00:00,opera.exe,4314.5673828125,181,12.593536376953123,3.0,1,4
2021-09-10 15:30:00,brave.exe,4605.044921875,181,15.31273078918457,1.0,1,4
2021-09-10 16:00:00,brave.exe,5291.40869140625,181,14.68690013885498,1.0,3,4
2021-09-10 16:30:00,brave.exe,5855.35888671875,181,14.848584175109863,3.0,3,4
2021-09-10 17:00:00,explorer.exe,4433.70458984375,820,10.214470863342283,3.0,2,4
2021-09-10 13:30:00,explorer.exe,5607.7216796875,189,7.528133869171143,0.0,2,5
2021-09-10 14:00:00,explorer.exe,3504.88671875,87,5.81001615524292,2.0,2,5
2021-09-10 14:30:00,explorer.exe,2846.18212890625,87,4.306299209594727,2.0,2,5
2021-09-10 15:00:00,explorer.exe,3318.04248046875,87,3.1934938430786133,2.0,2,5
